je_id,entity,posting_date,value_date,period,account_code,account_name,account_type,cost_center,description,debit_credit,amount,currency,vendor_id,vendor_name,invoice_ref,user_id,approved_by,posting_hour,source_system,je_type,reversal_flag
JE-002723,ACME Corp,2024-07-08,2024-07-08,2024-07,9200,Intercompany Receivable,Asset,CC800,Standard posting — Intercompany Receivable,C,95396.37,USD,V004,Metro Legal Advisors,INV-88506,r.kumar,director.finance,14,Oracle,Automated,N
JE-002724,Global Trade Ltd,2023-05-28,2023-05-28,2023-05,7100,Interest Income,Revenue,CC605,Standard posting — Interest Income,D,351.9,USD,V003,Premier Office Supply,INV-83746,l.dupont,dir.treasury,11,SAP,Automated,N
JE-002725,ACME Corp,2023-09-03,2023-09-03,2023-09,2100,Accounts Payable,Liability,CC260,Standard posting — Accounts Payable,D,363131.29,USD,V009,ClearView Analytics,INV-87832,p.garcia,cfo.office,11,SAP,Automated,N
JE-002726,FinServ Partners,2024-01-27,2024-01-27,2024-01,4200,Revenue — Services,Revenue,CC658,Standard posting — Revenue — Services,D,463770.39,EUR,V007,Stellar Recruitment,INV-72242,l.dupont,vp.controller,10,Oracle,Import,N
JE-002727,Global Trade Ltd,2023-10-05,2023-10-05,2023-10,2300,Short-Term Borrowings,Liability,CC127,Standard posting — Short-Term Borrowings,D,451559.94,GBP,V004,Metro Legal Advisors,INV-67624,s.chen,mgr.accounting,12,SAP,Import,N
JE-002728,Global Trade Ltd,2024-12-17,2024-12-17,2024-12,6300,Professional Fees,Expense,CC760,Standard posting — Professional Fees,C,121.75,EUR,V003,Premier Office Supply,INV-52825,s.chen,cfo.office,11,Oracle,Automated,N
JE-002729,BuildCo SA,2024-03-20,2024-03-20,2024-03,2300,Short-Term Borrowings,Liability,CC845,Standard posting — Short-Term Borrowings,D,5259.04,USD,V007,Stellar Recruitment,INV-43587,t.yamada,mgr.accounting,14,Manual,Import,N
JE-002730,Global Trade Ltd,2024-12-31,2024-12-31,2024-12,2300,Short-Term Borrowings,Liability,CC319,Standard posting — Short-Term Borrowings,C,233.36,GBP,V001,Apex Consulting,INV-36634,s.chen,dir.treasury,13,SAP,Manual,N
JE-002731,TechFlow Inc,2024-04-24,2023-05-23,2023-05,6100,Salaries & Wages,Expense,CC552,Standard posting — Salaries & Wages,D,53350.49,EUR,V010,Platinum Facilities,INV-80675,SYS_TEMP_01,SYS_TEMP_01,3,Manual,Manual,N
JE-002732,TechFlow Inc,2024-11-23,2024-11-23,2024-11,5200,Direct Labour,Expense,CC847,Standard posting — Direct Labour,C,331374.17,USD,V004,Metro Legal Advisors,INV-86839,r.kumar,dir.treasury,11,SAP,Manual,N
JE-002733,Global Trade Ltd,2023-05-06,2023-05-06,2023-05,2400,Deferred Revenue,Liability,CC973,Standard posting — Deferred Revenue,D,228.56,CAD,V008,Alliance Insurance,INV-33790,c.lambert,cfo.office,12,Import,Manual,N
JE-002734,Global Trade Ltd,2024-06-19,2024-06-19,2024-06,4100,Revenue — Products,Revenue,CC587,Standard posting — Revenue — Products,D,3451.36,GBP,V001,Apex Consulting,INV-57515,r.kumar,mgr.accounting,11,SAP,Import,N
JE-002735,FinServ Partners,2024-08-10,2024-08-10,2024-08,2100,Accounts Payable,Liability,CC321,Standard posting — Accounts Payable,C,28895.1,USD,V005,FastTrack Logistics,INV-88466,c.lambert,vp.controller,9,Oracle,Automated,N
JE-002736,ACME Corp,2024-09-28,2024-09-28,2024-09,8100,Income Tax Expense,Expense,CC970,Standard posting — Income Tax Expense,C,281.33,EUR,V002,Global IT Solutions,INV-76940,p.garcia,vp.controller,11,Manual,Reversal,N
JE-002737,FinServ Partners,2024-11-12,2024-11-12,2024-11,2400,Deferred Revenue,Liability,CC600,Standard posting — Deferred Revenue,C,407124.98,EUR,V002,Global IT Solutions,INV-26703,t.yamada,mgr.accounting,15,Oracle,Import,N
JE-002738,FinServ Partners,2023-06-18,2023-02-11,2023-02,6100,Salaries & Wages,Expense,CC298,REVERSAL — Salary accrual — large posting,C,-145406.32,EUR,V002,Global IT Solutions,INV-81212,a.silva,director.finance,11,Oracle,Reversal,Y
JE-002739,FinServ Partners,2024-01-18,2024-01-18,2024-01,4300,Other Operating Income,Revenue,CC875,Standard posting — Other Operating Income,D,2377.3,EUR,V009,ClearView Analytics,INV-99173,f.nkosi,director.finance,15,Oracle,Manual,N
JE-002740,BuildCo SA,2023-08-20,2023-08-20,2023-08,6300,Professional Fees,Expense,CC324,Advisory services — Apexe,D,14400.86,USD,V011,Apexe Consulting,INV-63378,c.lambert,dir.treasury,11,Oracle,Manual,N
JE-002741,ACME Corp,2023-09-18,2023-09-18,2023-09,2100,Accounts Payable,Liability,CC410,Standard posting — Accounts Payable,C,45367.08,USD,V006,NovaTech Services,INV-70523,s.chen,mgr.accounting,9,SAP,Automated,N
JE-002742,ACME Corp,2024-06-08,2024-06-08,2024-06,4100,Revenue — Products,Revenue,CC837,Standard posting — Revenue — Products,D,14183.08,USD,V004,Metro Legal Advisors,INV-20415,l.dupont,mgr.accounting,15,Oracle,Automated,N
JE-002743,BuildCo SA,2023-05-23,2023-05-23,2023-05,6800,Insurance,Expense,CC687,Standard posting — Insurance,D,400.47,EUR,V007,Stellar Recruitment,INV-78239,t.yamada,director.finance,15,Manual,Automated,N
JE-002744,ACME Corp,2023-01-13,2023-01-13,2023-01,2300,Short-Term Borrowings,Liability,CC240,Standard posting — Short-Term Borrowings,D,1245.85,USD,V003,Premier Office Supply,INV-22984,p.garcia,vp.controller,13,Oracle,Manual,N
JE-002745,ACME Corp,2023-01-26,2023-01-26,2023-01,2100,Accounts Payable,Liability,CC974,Standard posting — Accounts Payable,D,86818.88,USD,V005,FastTrack Logistics,INV-59501,l.dupont,mgr.accounting,11,SAP,Import,N
JE-002746,FinServ Partners,2023-12-24,2023-12-24,2023-12,4100,Revenue — Products,Revenue,CC250,Standard posting — Revenue — Products,C,2179.29,USD,V001,Apex Consulting,INV-14642,a.silva,mgr.accounting,17,Oracle,Automated,N
JE-002747,TechFlow Inc,2023-11-04,2023-11-04,2023-11,7200,Interest Expense,Expense,CC796,Standard posting — Interest Expense,D,3129.97,GBP,V007,Stellar Recruitment,INV-10901,c.lambert,dir.treasury,16,Oracle,Manual,N
JE-002748,BuildCo SA,2023-11-15,2023-11-15,2023-11,9300,Intercompany Payable,Liability,CC469,Standard posting — Intercompany Payable,C,9516.52,USD,V003,Premier Office Supply,INV-50532,j.martin,cfo.office,16,SAP,Manual,N
JE-002749,TechFlow Inc,2023-01-16,2023-01-16,2023-01,9100,Clearing / Suspense,Suspense,CC328,Standard posting — Clearing / Suspense,D,118.81,GBP,V009,ClearView Analytics,INV-59266,t.yamada,mgr.accounting,12,SAP,Manual,N
JE-002750,Global Trade Ltd,2024-11-05,2024-11-05,2024-11,5100,Cost of Goods Sold,Expense,CC809,Standard posting — Cost of Goods Sold,D,141245.32,GBP,V004,Metro Legal Advisors,INV-15227,l.dupont,vp.controller,16,Oracle,Automated,N
JE-002751,BuildCo SA,2024-07-06,2024-07-06,2024-07,7200,Interest Expense,Expense,CC637,Standard posting — Interest Expense,C,603.07,USD,V008,Alliance Insurance,INV-78078,p.garcia,vp.controller,16,Manual,Manual,N
JE-002752,BuildCo SA,2023-07-06,2023-07-06,2023-07,7100,Interest Income,Revenue,CC110,Standard posting — Interest Income,C,38783.35,USD,V008,Alliance Insurance,INV-95952,m.okafor,dir.treasury,17,Oracle,Manual,N
JE-002753,TechFlow Inc,2023-04-06,2023-04-06,2023-04,8100,Income Tax Expense,Expense,CC253,Standard posting — Income Tax Expense,C,407808.07,USD,V007,Stellar Recruitment,INV-18439,a.silva,dir.treasury,11,Import,Import,N
JE-002754,FinServ Partners,2023-06-21,2023-06-21,2023-06,4100,Revenue — Products,Revenue,CC309,Standard posting — Revenue — Products,D,409266.28,USD,V007,Stellar Recruitment,INV-36804,a.silva,dir.treasury,11,Oracle,Manual,N
JE-002755,FinServ Partners,2023-04-21,2023-04-21,2023-04,6300,Professional Fees,Expense,CC210,Standard posting — Professional Fees,C,122614.83,USD,V003,Premier Office Supply,INV-72978,l.dupont,director.finance,14,Import,Automated,N
JE-002756,BuildCo SA,2023-05-12,2023-05-12,2023-05,5100,Cost of Goods Sold,Expense,CC539,Standard posting — Cost of Goods Sold,C,3889.85,USD,V003,Premier Office Supply,INV-26363,a.silva,vp.controller,11,SAP,Import,N
JE-002757,BuildCo SA,2023-11-15,2023-11-15,2023-11,6800,Insurance,Expense,CC809,Standard posting — Insurance,D,8789.4,USD,V007,Stellar Recruitment,INV-60224,a.silva,vp.controller,9,Manual,Import,N
JE-002758,FinServ Partners,2024-06-20,2024-06-20,2024-06,9100,Clearing / Suspense,Suspense,CC674,Standard posting — Clearing / Suspense,D,8046.14,EUR,V009,ClearView Analytics,INV-23497,c.lambert,mgr.accounting,17,Manual,Automated,N
JE-002759,Global Trade Ltd,2023-04-27,2023-04-27,2023-04,1300,Inventories,Asset,CC266,Standard posting — Inventories,C,7309.19,USD,V002,Global IT Solutions,INV-48372,c.lambert,cfo.office,14,Concur,Import,N
JE-002760,Global Trade Ltd,2023-03-21,2023-01-07,2023-01,6100,Salaries & Wages,Expense,CC795,Salary accrual — large posting,D,117486.73,USD,V002,Global IT Solutions,INV-63923,f.nkosi,dir.treasury,14,SAP,Accrual,N
JE-002761,ACME Corp,2024-12-07,2024-12-07,2024-12,1300,Inventories,Asset,CC988,Standard posting — Inventories,D,13313.57,GBP,V010,Platinum Facilities,INV-83885,p.garcia,director.finance,13,Manual,Automated,N
JE-002762,Global Trade Ltd,2023-10-06,2023-10-06,2023-10,1200,Accounts Receivable,Asset,CC520,Standard posting — Accounts Receivable,D,8922.92,USD,V008,Alliance Insurance,INV-26126,j.martin,mgr.accounting,12,SAP,Import,N
JE-002763,ACME Corp,2023-08-25,2023-08-25,2023-08,1300,Inventories,Asset,CC323,Standard posting — Inventories,C,185.84,USD,V003,Premier Office Supply,INV-90980,f.nkosi,mgr.accounting,15,Oracle,Automated,N
JE-002764,Global Trade Ltd,2023-07-11,2023-07-11,2023-07,5200,Direct Labour,Expense,CC137,Standard posting — Direct Labour,D,18144.68,USD,V004,Metro Legal Advisors,INV-45230,f.nkosi,director.finance,9,SAP,Automated,N
JE-002765,FinServ Partners,2024-12-02,2024-12-02,2024-12,6800,Insurance,Expense,CC374,Standard posting — Insurance,C,30418.3,USD,V002,Global IT Solutions,INV-33263,p.garcia,cfo.office,10,SAP,Automated,N
JE-002766,TechFlow Inc,2023-10-30,2023-10-30,2023-10,4100,Revenue — Products,Revenue,CC211,Standard posting — Revenue — Products,D,132.91,USD,V010,Platinum Facilities,INV-22467,l.dupont,cfo.office,9,SAP,Automated,N
JE-002767,ACME Corp,2023-01-30,2023-01-30,2023-01,5200,Direct Labour,Expense,CC590,Standard posting — Direct Labour,D,69754.56,EUR,V003,Premier Office Supply,INV-11468,l.dupont,cfo.office,9,SAP,Automated,N
JE-002768,ACME Corp,2023-03-20,2023-03-20,2023-03,1200,Accounts Receivable,Asset,CC266,Standard posting — Accounts Receivable,D,220296.7,GBP,V004,Metro Legal Advisors,INV-28334,m.okafor,dir.treasury,12,SAP,Automated,N
JE-002769,Global Trade Ltd,2023-07-27,2023-07-27,2023-07,2400,Deferred Revenue,Liability,CC445,Standard posting — Deferred Revenue,C,15055.68,GBP,V008,Alliance Insurance,INV-30868,l.dupont,cfo.office,11,SAP,Automated,N
JE-002770,BuildCo SA,2023-08-16,2023-08-16,2023-08,4100,Revenue — Products,Revenue,CC138,Standard posting — Revenue — Products,C,111.8,CHF,V002,Global IT Solutions,INV-62513,f.nkosi,dir.treasury,14,SAP,Reversal,N
JE-002771,BuildCo SA,2023-03-27,2023-03-27,2023-03,1200,Accounts Receivable,Asset,CC968,Standard posting — Accounts Receivable,C,210136.67,USD,V008,Alliance Insurance,INV-77415,c.lambert,cfo.office,13,Oracle,Reversal,N
JE-002772,TechFlow Inc,2024-01-02,2024-01-02,2024-01,6400,Marketing & Advertising,Expense,CC641,Standard posting — Marketing & Advertising,C,247142.29,EUR,V003,Premier Office Supply,INV-72283,f.nkosi,director.finance,12,Oracle,Manual,N
JE-002773,BuildCo SA,2023-02-05,2023-02-05,2023-02,6300,Professional Fees,Expense,CC899,Standard posting — Professional Fees,D,580.26,USD,V009,ClearView Analytics,INV-94600,m.okafor,cfo.office,12,SAP,Reversal,N
JE-002774,BuildCo SA,2023-09-06,2023-09-06,2023-09,8100,Income Tax Expense,Expense,CC555,Standard posting — Income Tax Expense,D,924.01,GBP,V008,Alliance Insurance,INV-80904,p.garcia,dir.treasury,11,Manual,Manual,N
JE-002775,BuildCo SA,2024-01-11,2024-01-11,2024-01,6800,Insurance,Expense,CC467,Standard posting — Insurance,D,1456.26,USD,V007,Stellar Recruitment,INV-66293,f.nkosi,director.finance,15,SAP,Reversal,N
JE-002776,Global Trade Ltd,2023-06-07,2023-06-07,2023-06,9200,Intercompany Receivable,Asset,CC136,Standard posting — Intercompany Receivable,C,13223.85,CHF,V003,Premier Office Supply,INV-57211,m.okafor,director.finance,16,Manual,Import,N
JE-002777,BuildCo SA,2023-02-10,2023-02-10,2023-02,4100,Revenue — Products,Revenue,CC744,Standard posting — Revenue — Products,C,17116.75,USD,V007,Stellar Recruitment,INV-26260,s.chen,vp.controller,14,Manual,Import,N
JE-002778,Global Trade Ltd,2024-10-31,2024-10-31,2024-10,7100,Interest Income,Revenue,CC995,Standard posting — Interest Income,D,326047.89,USD,V004,Metro Legal Advisors,INV-55688,s.chen,mgr.accounting,14,Import,Automated,N
JE-002779,ACME Corp,2023-09-21,2023-09-21,2023-09,2200,Accrued Liabilities,Liability,CC691,Standard posting — Accrued Liabilities,D,677.34,USD,V001,Apex Consulting,INV-59155,m.okafor,cfo.office,12,Oracle,Automated,N
JE-002780,TechFlow Inc,2024-02-02,2024-02-02,2024-02,1200,Accounts Receivable,Asset,CC934,Standard posting — Accounts Receivable,D,562.39,EUR,V009,ClearView Analytics,INV-72304,a.silva,vp.controller,11,Manual,Automated,N
JE-002781,FinServ Partners,2023-03-24,2023-03-24,2023-03,3200,Retained Earnings,Equity,CC653,Standard posting — Retained Earnings,D,1182.1,USD,V006,NovaTech Services,INV-67620,m.okafor,director.finance,13,SAP,Automated,N
JE-002782,FinServ Partners,2023-11-26,2023-11-26,2023-11,3100,Share Capital,Equity,CC282,Standard posting — Share Capital,D,355139.18,USD,V009,ClearView Analytics,INV-76056,f.nkosi,mgr.accounting,11,Oracle,Automated,N
JE-002783,BuildCo SA,2023-08-27,2023-08-27,2023-08,9100,Clearing / Suspense,Suspense,CC110,Standard posting — Clearing / Suspense,C,795.49,USD,V010,Platinum Facilities,INV-66112,f.nkosi,dir.treasury,17,SAP,Manual,N
JE-002784,BuildCo SA,2023-11-12,2023-11-12,2023-11,9100,Clearing / Suspense,Suspense,CC599,Standard posting — Clearing / Suspense,C,191.43,EUR,V008,Alliance Insurance,INV-87274,c.lambert,dir.treasury,11,Oracle,Import,N
JE-002785,FinServ Partners,2023-11-04,2023-11-04,2023-11,9100,Clearing / Suspense,Suspense,CC426,Standard posting — Clearing / Suspense,D,1801.42,EUR,V007,Stellar Recruitment,INV-64059,a.silva,cfo.office,15,Oracle,Automated,N
JE-002786,BuildCo SA,2023-09-23,2023-09-23,2023-09,9100,Clearing / Suspense,Suspense,CC790,Standard posting — Clearing / Suspense,C,3274.95,USD,V004,Metro Legal Advisors,INV-95670,m.okafor,dir.treasury,11,Import,Import,N
JE-002787,BuildCo SA,2023-04-23,2023-04-23,2023-04,5200,Direct Labour,Expense,CC832,Standard posting — Direct Labour,D,36049.62,USD,V006,NovaTech Services,INV-16394,m.okafor,dir.treasury,10,Manual,Manual,N
JE-002788,BuildCo SA,2023-04-20,2023-04-20,2023-04,6700,Depreciation & Amortisation,Expense,CC208,Standard posting — Depreciation & Amortisation,D,340.01,USD,V007,Stellar Recruitment,INV-22419,p.garcia,mgr.accounting,14,Import,Reversal,N
JE-002789,ACME Corp,2023-02-03,2023-02-03,2023-02,5100,Cost of Goods Sold,Expense,CC860,Standard posting — Cost of Goods Sold,D,8029.74,USD,V006,NovaTech Services,INV-70486,p.garcia,cfo.office,10,Manual,Automated,N
JE-002790,TechFlow Inc,2024-10-25,2024-10-25,2024-10,7200,Interest Expense,Expense,CC534,Standard posting — Interest Expense,C,95544.1,CAD,V001,Apex Consulting,INV-14592,p.garcia,mgr.accounting,10,SAP,Automated,N
JE-002791,ACME Corp,2023-12-18,2023-12-18,2023-12,4200,Revenue — Services,Revenue,CC404,Standard posting — Revenue — Services,C,42445.24,USD,V010,Platinum Facilities,INV-44675,r.kumar,mgr.accounting,12,Manual,Automated,N
JE-002792,BuildCo SA,2024-01-19,2024-01-19,2024-01,3100,Share Capital,Equity,CC172,Standard posting — Share Capital,D,15570.35,USD,V004,Metro Legal Advisors,INV-56836,c.lambert,vp.controller,11,Oracle,Automated,N
JE-002793,BuildCo SA,2024-04-01,2024-04-01,2024-04,2100,Accounts Payable,Liability,CC664,Standard posting — Accounts Payable,C,1121.19,USD,V008,Alliance Insurance,INV-43903,s.chen,cfo.office,11,SAP,Automated,N
JE-002794,FinServ Partners,2023-12-13,2023-12-13,2023-12,6300,Professional Fees,Expense,CC445,Standard posting — Professional Fees,D,19375.12,USD,V007,Stellar Recruitment,INV-16538,m.okafor,mgr.accounting,9,SAP,Reversal,N
JE-002795,BuildCo SA,2023-07-12,2023-07-12,2023-07,9300,Intercompany Payable,Liability,CC318,Standard posting — Intercompany Payable,D,53114.97,EUR,V005,FastTrack Logistics,INV-63845,r.kumar,vp.controller,10,SAP,Automated,N
JE-002796,TechFlow Inc,2024-07-27,2024-07-27,2024-07,2400,Deferred Revenue,Liability,CC611,Standard posting — Deferred Revenue,C,183.02,EUR,V006,NovaTech Services,INV-72942,m.okafor,cfo.office,11,SAP,Automated,N
JE-002797,TechFlow Inc,2023-03-20,2023-03-20,2023-03,6300,Professional Fees,Expense,CC951,Standard posting — Professional Fees,C,32654.48,USD,V001,Apex Consulting,INV-33714,p.garcia,vp.controller,17,Import,Manual,N
JE-002798,TechFlow Inc,2023-06-13,2023-06-13,2023-06,6400,Marketing & Advertising,Expense,CC211,Standard posting — Marketing & Advertising,D,62122.87,USD,V006,NovaTech Services,INV-54899,l.dupont,vp.controller,15,SAP,Manual,N
JE-002799,TechFlow Inc,2023-05-13,2023-05-13,2023-05,6100,Salaries & Wages,Expense,CC518,Standard posting — Salaries & Wages,C,14113.95,USD,V009,ClearView Analytics,INV-63811,j.martin,director.finance,15,SAP,Import,N
JE-002800,FinServ Partners,2024-08-14,2024-08-14,2024-08,6400,Marketing & Advertising,Expense,CC185,Standard posting — Marketing & Advertising,D,1883.37,USD,V003,Premier Office Supply,INV-77181,m.okafor,mgr.accounting,11,Oracle,Manual,N
JE-002801,BuildCo SA,2024-11-09,2024-01-01,2024-01,6700,Depreciation & Amortisation,Expense,CC846,Standard posting — Depreciation & Amortisation,C,16162.72,USD,V004,Metro Legal Advisors,INV-54545,SYS_TEMP_01,SYS_TEMP_01,22,Manual,Manual,N
JE-002802,BuildCo SA,2024-03-30,2024-03-30,2024-03,9300,Intercompany Payable,Liability,CC696,Standard posting — Intercompany Payable,C,1763.05,EUR,V007,Stellar Recruitment,INV-38980,f.nkosi,cfo.office,13,SAP,Manual,N
JE-002803,Global Trade Ltd,2023-01-15,2023-01-15,2023-01,1500,Property Plant & Equipment,Asset,CC279,Standard posting — Property Plant & Equipment,C,153.39,USD,V006,NovaTech Services,INV-94428,j.martin,mgr.accounting,9,SAP,Import,N
JE-002804,Global Trade Ltd,2024-05-28,2024-05-28,2024-05,6700,Depreciation & Amortisation,Expense,CC457,Standard posting — Depreciation & Amortisation,D,44219.28,USD,V004,Metro Legal Advisors,INV-39085,t.yamada,dir.treasury,17,Oracle,Manual,N
JE-002805,BuildCo SA,2023-02-08,2023-02-08,2023-02,1300,Inventories,Asset,CC586,Standard posting — Inventories,D,1264.08,USD,V006,NovaTech Services,INV-46802,l.dupont,vp.controller,15,Oracle,Import,N
JE-002806,BuildCo SA,2023-04-09,2023-04-09,2023-04,9200,Intercompany Receivable,Asset,CC575,Standard posting — Intercompany Receivable,C,7843.34,USD,V005,FastTrack Logistics,INV-71773,s.chen,cfo.office,11,Oracle,Automated,N
JE-002807,BuildCo SA,2023-11-02,2023-11-02,2023-11,1200,Accounts Receivable,Asset,CC756,Standard posting — Accounts Receivable,D,200.55,GBP,V001,Apex Consulting,INV-34507,t.yamada,director.finance,10,Oracle,Import,N
JE-002808,TechFlow Inc,2023-02-25,2023-02-25,2023-02,6600,IT & Software,Expense,CC441,Standard posting — IT & Software,C,12452.55,USD,V009,ClearView Analytics,INV-80332,f.nkosi,director.finance,12,Import,Automated,N
JE-002809,ACME Corp,2023-10-15,2023-10-15,2023-10,2100,Accounts Payable,Liability,CC302,Standard posting — Accounts Payable,D,260561.45,EUR,V009,ClearView Analytics,INV-15729,c.lambert,cfo.office,13,Manual,Import,N
JE-002810,BuildCo SA,2024-11-06,2024-11-06,2024-11,7200,Interest Expense,Expense,CC196,Standard posting — Interest Expense,C,187.11,USD,V006,NovaTech Services,INV-12513,c.lambert,dir.treasury,12,SAP,Automated,N
JE-002811,Global Trade Ltd,2024-01-28,2024-01-28,2024-01,5100,Cost of Goods Sold,Expense,CC688,Standard posting — Cost of Goods Sold,D,202.04,USD,V010,Platinum Facilities,INV-66685,f.nkosi,vp.controller,10,Import,Automated,N
JE-002812,ACME Corp,2023-02-08,2023-02-08,2023-02,5200,Direct Labour,Expense,CC633,Standard posting — Direct Labour,D,3908.49,USD,V008,Alliance Insurance,INV-51310,c.lambert,vp.controller,12,SAP,Manual,N
JE-002813,TechFlow Inc,2024-06-01,2024-06-01,2024-06,1300,Inventories,Asset,CC742,Standard posting — Inventories,D,3091.83,USD,V004,Metro Legal Advisors,INV-67523,j.martin,mgr.accounting,11,SAP,Automated,N
JE-002814,BuildCo SA,2023-07-16,2023-07-16,2023-07,3200,Retained Earnings,Equity,CC436,Standard posting — Retained Earnings,D,279949.75,EUR,V002,Global IT Solutions,INV-28404,m.okafor,vp.controller,12,SAP,Automated,N
JE-002815,TechFlow Inc,2023-05-02,2023-05-02,2023-05,7200,Interest Expense,Expense,CC216,Standard posting — Interest Expense,C,2131.31,USD,V007,Stellar Recruitment,INV-47350,r.kumar,dir.treasury,13,Manual,Automated,N
JE-002816,ACME Corp,2024-12-17,2024-12-17,2024-12,4100,Revenue — Products,Revenue,CC141,Standard posting — Revenue — Products,D,77010.26,GBP,V010,Platinum Facilities,INV-53272,s.chen,director.finance,12,Concur,Automated,N
JE-002817,ACME Corp,2023-09-23,2023-09-23,2023-09,4200,Revenue — Services,Revenue,CC931,Vendor payment — expense reimbursement,D,9907.18,GBP,V001,Apex Consulting,INV-56456,s.chen,mgr.accounting,10,Oracle,Manual,N
JE-002818,BuildCo SA,2024-01-22,2024-01-22,2024-01,7200,Interest Expense,Expense,CC919,Standard posting — Interest Expense,C,213.0,EUR,V002,Global IT Solutions,INV-69500,p.garcia,mgr.accounting,16,Oracle,Automated,N
JE-002819,BuildCo SA,2024-12-01,2024-12-01,2024-12,6400,Marketing & Advertising,Expense,CC901,Standard posting — Marketing & Advertising,D,274741.16,USD,V002,Global IT Solutions,INV-66148,t.yamada,director.finance,15,Oracle,Automated,N
JE-002820,ACME Corp,2024-03-11,2024-03-11,2024-03,6100,Salaries & Wages,Expense,CC244,Vendor payment — expense reimbursement,C,9885.67,EUR,V006,NovaTech Services,INV-39657,f.nkosi,director.finance,12,Manual,Manual,N
JE-002821,FinServ Partners,2023-05-24,2023-05-24,2023-05,3200,Retained Earnings,Equity,CC864,Standard posting — Retained Earnings,D,384746.68,USD,V002,Global IT Solutions,INV-61711,p.garcia,vp.controller,14,Manual,Automated,N
JE-002822,BuildCo SA,2023-06-16,2023-06-16,2023-06,9300,Intercompany Payable,Liability,CC131,Standard posting — Intercompany Payable,C,7268.19,USD,V009,ClearView Analytics,INV-64287,a.silva,dir.treasury,12,Concur,Automated,N
JE-002823,BuildCo SA,2024-02-24,2024-02-24,2024-02,2400,Deferred Revenue,Liability,CC877,Standard posting — Deferred Revenue,D,175.69,USD,V001,Apex Consulting,INV-16257,f.nkosi,cfo.office,8,Oracle,Automated,N
JE-002824,BuildCo SA,2024-09-12,2024-09-12,2024-09,2400,Deferred Revenue,Liability,CC114,Standard posting — Deferred Revenue,D,51850.08,CAD,V003,Premier Office Supply,INV-77472,c.lambert,dir.treasury,12,Concur,Automated,N
JE-002825,BuildCo SA,2023-10-25,2023-10-25,2023-10,7100,Interest Income,Revenue,CC565,Standard posting — Interest Income,C,800.63,USD,V010,Platinum Facilities,INV-48104,l.dupont,director.finance,17,SAP,Manual,N
JE-002826,ACME Corp,2023-03-10,2023-03-10,2023-03,5200,Direct Labour,Expense,CC733,Standard posting — Direct Labour,D,895.16,CAD,V005,FastTrack Logistics,INV-84539,l.dupont,mgr.accounting,11,SAP,Reversal,N
JE-002827,FinServ Partners,2024-07-12,2024-07-12,2024-07,4300,Other Operating Income,Revenue,CC558,Standard posting — Other Operating Income,D,2055.21,USD,V001,Apex Consulting,INV-38708,a.silva,cfo.office,9,Import,Manual,N
JE-002828,ACME Corp,2024-12-25,2024-12-25,2024-12,3200,Retained Earnings,Equity,CC828,Standard posting — Retained Earnings,C,345.42,USD,V002,Global IT Solutions,INV-38426,p.garcia,dir.treasury,13,Import,Manual,N
JE-002829,FinServ Partners,2024-09-12,2024-09-12,2024-09,9200,Intercompany Receivable,Asset,CC958,Standard posting — Intercompany Receivable,D,5688.37,USD,V004,Metro Legal Advisors,INV-18913,f.nkosi,cfo.office,8,Manual,Automated,N
JE-002830,TechFlow Inc,2023-04-12,2023-04-12,2023-04,4100,Revenue — Products,Revenue,CC297,Standard posting — Revenue — Products,D,28601.6,USD,V006,NovaTech Services,INV-94882,p.garcia,dir.treasury,11,Import,Automated,N
JE-002831,Global Trade Ltd,2023-06-02,2023-06-02,2023-06,6500,Travel & Entertainment,Expense,CC795,Standard posting — Travel & Entertainment,D,394784.27,USD,V007,Stellar Recruitment,INV-53402,c.lambert,director.finance,13,Manual,Automated,N
JE-002832,TechFlow Inc,2024-10-13,2024-10-13,2024-10,6100,Salaries & Wages,Expense,CC482,Standard posting — Salaries & Wages,D,105960.56,EUR,V004,Metro Legal Advisors,INV-80455,r.kumar,dir.treasury,9,Oracle,Automated,N
JE-002833,Global Trade Ltd,2023-03-15,2023-03-15,2023-03,8100,Income Tax Expense,Expense,CC974,Standard posting — Income Tax Expense,C,94501.42,EUR,V009,ClearView Analytics,INV-18202,p.garcia,dir.treasury,10,SAP,Manual,N
JE-002834,Global Trade Ltd,2023-06-21,2023-06-21,2023-06,7100,Interest Income,Revenue,CC779,Standard posting — Interest Income,D,165979.0,USD,V010,Platinum Facilities,INV-36062,p.garcia,cfo.office,13,Oracle,Manual,N
JE-002835,Global Trade Ltd,2023-11-06,2023-11-06,2023-11,2200,Accrued Liabilities,Liability,CC279,Standard posting — Accrued Liabilities,D,165374.92,USD,V009,ClearView Analytics,INV-14901,m.okafor,director.finance,8,Oracle,Automated,N
JE-002836,BuildCo SA,2024-05-11,2024-05-11,2024-05,2100,Accounts Payable,Liability,CC917,Standard posting — Accounts Payable,D,2713.92,USD,V006,NovaTech Services,INV-35078,t.yamada,dir.treasury,13,Oracle,Automated,N
JE-002837,ACME Corp,2023-08-17,2023-08-17,2023-08,1400,Prepaid Expenses,Asset,CC473,Standard posting — Prepaid Expenses,D,105101.08,USD,V010,Platinum Facilities,INV-19772,m.okafor,mgr.accounting,8,Manual,Import,N
